year,n,always_cpsat,always_k1,always_ek1,ai_k1,ai_ek1,oracle
2011,100,115.58,100.92,83.50,125.49,117.74,134.03
2012,100,112.26,100.19,87.55,115.32,112.26,132.39
2013,96,105.14,93.80,86.06,119.02,114.33,135.65
2014,98,130.79,87.31,74.90,130.79,131.79,138.64
2015,91,101.90,80.20,82.91,111.14,110.94,127.58
2016,95,119.30,93.28,72.42,123.71,119.30,127.38
2017,92,102.80,84.10,87.10,110.38,111.54,136.27
2018,90,118.77,85.54,65.69,120.40,118.77,129.42
2019,89,112.55,85.08,69.38,116.57,115.04,126.08
2020,94,105.52,84.31,65.18,114.21,107.55,124.68
2021,91,108.02,81.29,74.68,107.92,109.02,126.56
2022,92,111.33,90.71,73.96,116.93,112.46,133.08
2023,90,111.34,90.23,67.43,112.35,111.34,129.76
2024,84,101.84,79.94,70.22,108.48,106.31,120.77
2025,77,80.98,86.03,62.99,89.04,82.78,115.20
