year,n,cpsat,svc_k1,svc_ek1,oracle3
TOTAL,1379,1309.52,1393.42,1357.06,2022.59
2011,100,96.07,105.71,98.22,142.96
2012,100,98.33,103.33,98.33,140.76
2013,96,87.33,101.14,96.52,145.20
2014,98,97.50,97.50,99.00,144.25
2015,91,83.91,92.01,94.07,130.09
2016,95,93.39,98.22,93.39,133.97
2017,92,82.36,88.66,90.98,145.62
2018,90,89.43,91.15,89.43,134.50
2019,89,86.61,89.91,90.48,127.32
2020,94,80.20,89.54,82.26,128.62
2021,91,84.70,84.59,85.72,132.66
2022,92,89.20,94.79,92.01,136.74
2023,90,89.66,90.68,89.66,137.65
2024,84,79.13,86.41,83.46,123.41
2025,77,71.69,79.78,73.52,118.82
