year,always_cpsat,always_k1,plain_svc,bag_svc_mw,oracle
2011,54.94,45.06,61.43,61.32,66.59
2012,54.50,45.50,55.34,56.12,66.59
2013,51.49,43.51,59.39,60.86,68.87
2014,63.82,34.18,62.18,63.95,67.57
2015,51.77,38.23,55.80,57.55,65.53
2016,55.98,39.02,57.49,58.80,61.63
2017,50.91,39.09,54.62,54.98,67.28
2018,56.77,33.23,57.73,58.03,63.24
2019,53.69,35.31,55.35,57.24,62.53
2020,49.62,35.38,54.73,55.78,61.61
2021,52.69,35.31,56.70,53.47,64.91
2022,54.28,37.72,56.64,58.00,66.40
2023,51.97,38.03,52.04,53.22,63.33
2024,49.34,34.66,51.46,53.67,61.51
2025,37.11,39.89,42.19,41.51,59.02
