year,n_instances,strict_n,strict_pct,model_n,model_pct,family_n,family_pct
2011,100,15,15.00,17,70.83,18,90.00
2012,100,1,1.00,11,45.83,13,68.42
2013,96,1,1.04,13,46.43,14,70.00
2014,98,2,2.04,13,40.62,15,75.00
2015,91,9,9.89,13,48.15,16,84.21
2016,95,8,8.42,17,73.91,17,89.47
2017,92,3,3.26,15,62.50,15,75.00
2018,90,2,2.22,19,95.00,19,95.00
2019,89,6,6.74,13,48.15,14,73.68
2020,94,10,10.64,10,43.48,11,57.89
2021,91,1,1.10,7,25.93,10,52.63
2022,92,2,2.17,12,60.00,13,65.00
2023,90,3,3.33,9,45.00,9,45.00
2024,84,1,1.19,8,36.36,9,47.37
2025,77,1,1.30,8,42.11,9,47.37
