year,n,strict_n,strict_pct,model_n,model_pct,family_n,family_pct
2011,100,0,0.00,10,10.00,90,90.00
2012,100,0,0.00,5,5.00,71,71.00
2013,96,0,0.00,15,15.62,68,70.83
2014,98,2,2.04,11,11.22,73,74.49
2015,91,0,0.00,27,29.67,76,83.52
2016,95,3,3.16,65,68.42,85,89.47
2017,92,2,2.17,51,55.43,69,75.00
2018,90,2,2.22,70,77.78,85,94.44
2019,89,3,3.37,48,53.93,67,75.28
2020,94,3,3.19,40,42.55,55,58.51
2021,91,0,0.00,25,27.47,50,54.95
2022,92,2,2.17,45,48.91,58,63.04
2023,90,0,0.00,34,37.78,39,43.33
2024,84,0,0.00,34,40.48,39,46.43
2025,77,1,1.30,21,27.27,36,46.75
